3.7300 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
13.2846 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

22.9513 	EXP 	window1: blendMode = 'avg'
22.9683 	EXP 	window1: blendMode = 'avg'
22.9853 	EXP 	window1: blendMode = 'avg'
23.0022 	EXP 	window1: blendMode = 'avg'
23.0191 	EXP 	window1: blendMode = 'avg'
23.0361 	EXP 	window1: blendMode = 'avg'
23.0531 	EXP 	window1: blendMode = 'avg'
23.0700 	EXP 	window1: blendMode = 'avg'
23.0870 	EXP 	window1: blendMode = 'avg'
23.1039 	EXP 	window1: blendMode = 'avg'
23.1205 	DATA 	Keypress: space
23.1224 	EXP 	window1: blendMode = 'avg'
23.1387 	EXP 	text_welcome: autoDraw = False
23.1387 	EXP 	text_instruction: autoDraw = True
23.1398 	EXP 	window1: blendMode = 'avg'
23.1572 	EXP 	window1: blendMode = 'avg'
23.1745 	EXP 	window1: blendMode = 'avg'
23.1918 	EXP 	window1: blendMode = 'avg'
23.2091 	EXP 	window1: blendMode = 'avg'
23.2407 	EXP 	window1: blendMode = 'avg'
23.2582 	EXP 	window1: blendMode = 'avg'
23.2755 	EXP 	window1: blendMode = 'avg'
23.2929 	EXP 	window1: blendMode = 'avg'
23.3102 	EXP 	window1: blendMode = 'avg'
23.3275 	EXP 	window1: blendMode = 'avg'
23.3450 	EXP 	window1: blendMode = 'avg'
23.3763 	EXP 	window1: blendMode = 'avg'
23.3937 	EXP 	window1: blendMode = 'avg'
23.4110 	EXP 	window1: blendMode = 'avg'
23.4283 	EXP 	window1: blendMode = 'avg'
23.4456 	EXP 	window1: blendMode = 'avg'
23.4629 	EXP 	window1: blendMode = 'avg'
23.4802 	EXP 	window1: blendMode = 'avg'
23.4975 	EXP 	window1: blendMode = 'avg'
23.5151 	EXP 	window1: blendMode = 'avg'
23.5461 	EXP 	window1: blendMode = 'avg'
23.5636 	EXP 	window1: blendMode = 'avg'
23.5809 	EXP 	window1: blendMode = 'avg'
23.5982 	EXP 	window1: blendMode = 'avg'
23.6155 	EXP 	window1: blendMode = 'avg'
23.6328 	EXP 	window1: blendMode = 'avg'
23.6501 	EXP 	window1: blendMode = 'avg'
23.6674 	EXP 	window1: blendMode = 'avg'
23.6846 	EXP 	window1: blendMode = 'avg'
23.7019 	EXP 	window1: blendMode = 'avg'
23.7332 	EXP 	window1: blendMode = 'avg'
23.7506 	EXP 	window1: blendMode = 'avg'
23.7680 	EXP 	window1: blendMode = 'avg'
23.7853 	EXP 	window1: blendMode = 'avg'
23.8026 	EXP 	window1: blendMode = 'avg'
23.8198 	EXP 	window1: blendMode = 'avg'
23.8374 	EXP 	window1: blendMode = 'avg'
23.8548 	EXP 	window1: blendMode = 'avg'
23.8721 	EXP 	window1: blendMode = 'avg'
23.9034 	EXP 	window1: blendMode = 'avg'
23.9210 	EXP 	window1: blendMode = 'avg'
23.9383 	EXP 	window1: blendMode = 'avg'
23.9555 	EXP 	window1: blendMode = 'avg'
23.9728 	EXP 	window1: blendMode = 'avg'
23.9902 	EXP 	window1: blendMode = 'avg'
24.0075 	EXP 	window1: blendMode = 'avg'
24.0249 	EXP 	window1: blendMode = 'avg'
24.0563 	EXP 	window1: blendMode = 'avg'
24.0736 	EXP 	window1: blendMode = 'avg'
24.0909 	EXP 	window1: blendMode = 'avg'
24.1081 	EXP 	window1: blendMode = 'avg'
24.1254 	EXP 	window1: blendMode = 'avg'
24.1426 	EXP 	window1: blendMode = 'avg'
24.1600 	EXP 	window1: blendMode = 'avg'
24.1773 	EXP 	window1: blendMode = 'avg'
24.1946 	EXP 	window1: blendMode = 'avg'
24.2118 	EXP 	window1: blendMode = 'avg'
24.2291 	EXP 	window1: blendMode = 'avg'
24.2464 	EXP 	window1: blendMode = 'avg'
24.2639 	EXP 	window1: blendMode = 'avg'
24.2950 	EXP 	window1: blendMode = 'avg'
24.3123 	EXP 	window1: blendMode = 'avg'
24.3296 	EXP 	window1: blendMode = 'avg'
24.3470 	EXP 	window1: blendMode = 'avg'
24.3645 	EXP 	window1: blendMode = 'avg'
24.3812 	DATA 	Keypress: space
24.4133 	EXP 	Imported test.csv as conditions, 10 conditions, 3 params
24.4139 	EXP 	Created sequence: sequential, trialTypes=10, nReps=1, seed=None
24.4146 	EXP 	New trial (rep=0, index=0): {'word': u'\u6642\u5019', 'file': u'stimuli/154.wav', 'word_id': 154}
24.4892 	EXP 	Set  sound=stimuli/154.wav
24.4913 	EXP 	window1: blendMode = 'avg'
24.5143 	EXP 	text_instruction: autoDraw = False
24.5143 	EXP 	text_fixation: autoDraw = True
24.5151 	EXP 	window1: blendMode = 'avg'
24.5320 	EXP 	window1: blendMode = 'avg'
24.5489 	EXP 	window1: blendMode = 'avg'
24.5659 	EXP 	window1: blendMode = 'avg'
